state,n_samples,n_taxa,beta,beta_se,beta_ci_lo,beta_ci_hi,alpha,r2,p,abs_dev_from_2,pct_dev_from_v02_ref
control,426,94,1.6775138527545523,0.04397868054931052,1.5903796794461655,1.75883037666382,0.692592966843048,0.9405281064632185,3.550011153982817e-58,0.32248614724544766,-2.977799146642438
UC,453,90,1.6267358977417583,0.052698746534062195,1.5275782930319,1.7306803920592393,0.8087925753581238,0.9154553181892351,5.482754261545077e-49,0.3732641022582417,-5.914638649985065
CD,748,84,1.6043777968577495,0.05363999936235212,1.5000888231595164,1.703868821866766,0.8970909995488453,0.9160364399327017,7.079534477951562e-46,0.3956222031422505,-7.207761893710271
