label,n_samples,n_otus_after_filter,beta,beta_se,beta_ci_lo,beta_ci_hi,alpha,r2
global_all_layers,139,5679,1.7163052661681364,0.00696857066752972,1.7026442060405111,1.7299663262957616,-0.6119353316925162,0.9144216802049366
layer_SRF,63,4612,1.6354276026798433,0.007524989171630312,1.6206750216171288,1.6501801837425578,-1.1448174521761512,0.9110786762734536
layer_DCM,42,5122,1.6655908421927856,0.0075122759753558825,1.6508635703356098,1.6803181140499615,-1.0116189927457668,0.9056706829658407
layer_MES,30,7802,1.6457705437454218,0.005409263651397929,1.6351669363957804,1.6563741510950631,-1.2386076940535278,0.9222862169388838
