parameter,biome,mean,sd,hdi_2.5,hdi_97.5
beta_global,ALL,1.9502931517352136,0.021385617402961642,1.9089879520609283,1.9924212859895294
tau,ALL,0.07372928573178895,0.017482903461264108,0.04577310144748813,0.11432993848790662
beta_b,Aerosol (non-saline),1.901664927380962,0.04056661901163282,1.8192253816081834,1.9788896314980755
beta_offset,Aerosol (non-saline),-0.0486282243542515,0.04315128110535869,-0.13357175844631994,0.03555836515538641
beta_b,Animal corpus,1.95450193447356,0.061026666969898294,1.8363773114510384,2.077849989225296
beta_offset,Animal corpus,0.004208782738346308,0.06002004724404087,-0.11418740898213069,0.12400607152730991
beta_b,Animal distal gut,2.0031388628075564,0.0323991105480128,1.9411766264172554,2.068388634031994
beta_offset,Animal distal gut,0.05284571107234275,0.036888700496096244,-0.0160906492679363,0.12860122452376382
beta_b,Animal proximal gut,2.010418209174108,0.032576954630837415,1.9476295254083018,2.0760210265055696
beta_offset,Animal proximal gut,0.060125057438894326,0.03628913811077933,-0.010080864602412089,0.13028942776416505
beta_b,Animal secretion,1.865695394254061,0.036683643364892236,1.7929405840124513,1.9360025047497016
beta_offset,Animal secretion,-0.08459775748115252,0.039591975650875195,-0.1626854065579612,-0.010048717069544215
beta_b,Animal surface,1.9731759054306157,0.0291690528125382,1.9147196629260737,2.0285633652993647
beta_offset,Animal surface,0.02288275369540235,0.03412798264944008,-0.043327925462413264,0.09081497132228347
beta_b,Plant rhizosphere,1.9700952621857004,0.008507959546502597,1.9533851492969805,1.9864144374505484
beta_offset,Plant rhizosphere,0.019802110450486795,0.022762984496387362,-0.024914040896982816,0.06473170282211385
beta_b,Plant surface,1.8326557659535525,0.02441692171001072,1.7854674003983257,1.878889810771428
beta_offset,Plant surface,-0.11763738578166102,0.031287051623076385,-0.18132845631314304,-0.05642093956346043
beta_b,Sediment (non-saline),1.9588630424179252,0.010605551260491982,1.9381532408140756,1.9793171610293958
beta_offset,Sediment (non-saline),0.008569890682711906,0.023505800671366782,-0.03879627620938891,0.053795646414139205
beta_b,Sediment (saline),2.045989822118257,0.016166752973518207,2.013903558586081,2.0768523331250504
beta_offset,Sediment (saline),0.09569667038304377,0.026176313437462767,0.04556929922824143,0.14729596249926716
beta_b,Soil (non-saline),1.9824165952737094,0.015440282406052833,1.9515714513044957,2.0126935619039927
beta_offset,Soil (non-saline),0.03212344353849574,0.025587793972323112,-0.01951772546394886,0.08290273460419245
beta_b,Surface (non-saline),1.9326576555673685,0.03228629958295956,1.8694330856201427,1.9954817508388694
beta_offset,Surface (non-saline),-0.01763549616784528,0.036250298975704746,-0.09007405204955107,0.05459372517612048
beta_b,Surface (saline),2.0407319095968304,0.03670128783788334,1.9688884010266825,2.1141675477618738
beta_offset,Surface (saline),0.0904387578616169,0.03983763764215729,0.01355892871300959,0.17145976818492045
beta_b,Water (non-saline),1.9124020278907918,0.027788044526484746,1.8551617871125619,1.9664097692050533
beta_offset,Water (non-saline),-0.03789112384442166,0.03316137763601306,-0.10138536054583146,0.02610276635699908
beta_b,Water (saline),1.8898854109568237,0.023834659831370206,1.8434365726059703,1.9376234090205462
beta_offset,Water (saline),-0.06040774077838967,0.030441726837913935,-0.12159503166626016,-0.002538850092526175
