depth,canonical,n_samples_kept,universal_beta,beta_se,beta_ci_lo,beta_ci_hi,r2,n_points,n_biomes,mean_n_taxa
1000,False,25145,1.8511428974731656,0.013838482534056328,1.8240194717064153,1.878266323239916,0.9542050349148766,1807,15,120
2500,False,24926,1.861113233351781,0.009763971940777265,1.8419758483478577,1.8802506183557044,0.9567310807722208,3525,15,235
5000,True,24049,1.8708007643840245,0.0077027286880497975,1.8557034161554469,1.8858981126126022,0.9580662691344951,5490,15,366
10000,False,22811,1.8760476516122002,0.006159821902947502,1.863974400682423,1.8881209025419774,0.9590749329753886,8099,15,539
20000,False,18867,1.8819651555622035,0.0050512776272189025,1.8720646514128545,1.8918656597115524,0.9583529453713197,11376,15,758
