bin,n_samples,n_taxa,beta,beta_se,beta_ci_lo,beta_ci_hi,alpha,r2,p
early,574,87,1.6045023355426022,0.05054840050196783,1.5090508372796436,1.7004749845308569,0.8616886252277542,0.9222002354112379,6.602334997161318e-49
middle,574,91,1.6212709933414993,0.05197335986924992,1.5149282403784632,1.724359338508998,0.8415079740021562,0.9162023624860285,1.067598603298327e-49
late,458,90,1.6357330205725125,0.04528736079925314,1.5460632366616318,1.7265775779912569,0.8159257072120437,0.9368079530193721,1.4840939987108395e-54
