n_taxa,beta,beta_se,beta_ci_lo,beta_ci_hi,r2,p,alpha,n_samples,biome
34,1.8667995226466039,0.08212991688258472,1.7058248855567377,2.02777415973647,0.9416745351259662,2.582056895672442e-21,3.0153164013210825,126,Animal corpus
1260,1.8699277360897133,0.015240366751182599,1.8400566172573953,1.8997988549220313,0.9228799927696124,0.0,1.485793376867252,68,Plant rhizosphere
245,1.9440247174263787,0.030120216546096253,1.88498909299603,2.0030603418567274,0.9448816386100778,6.1432512485343e-155,2.2370456430749566,64,Plant surface
424,1.9555438402909184,0.024271766052929234,1.9079711788271771,2.00311650175466,0.9389583293275312,2.3432015844137828e-258,1.738384699589824,57,Sediment (saline)
386,2.067422792322746,0.025434505623124003,2.017571161301423,2.1172744233440692,0.9450731551125762,4.5745354093234116e-244,1.7474191937361043,52,Soil (non-saline)
351,1.9730877614540994,0.02289018290848502,1.9282230029534688,2.01795251995473,0.955136160846964,2.4891633556134826e-237,1.7772005880773971,57,Surface (non-saline)
81,2.1217285374343273,0.05230496137840856,2.0192108131326467,2.224246261736008,0.954189215293397,1.1746359293084781e-54,2.1924354135274076,110,Surface (saline)
247,1.9900024896749828,0.0315848448480035,1.928096193772896,2.0519087855770697,0.9418691198026932,2.2890498596157657e-153,1.9823826830784204,61,Water (non-saline)
142,2.0123600652780684,0.0348473815123958,1.9440591975137727,2.080660933042364,0.9597100259998046,1.5874180140247958e-99,2.083839278446867,85,Water (saline)
