cohort,n_samples,n_taxa_after_prev_filter,beta,beta_se,beta_ci_lo_analytic,beta_ci_hi_analytic,beta_boot_ci_lo,beta_boot_ci_hi,alpha,r2,p
FengQ_2015,154,175,1.8139695772861348,0.03097736325858579,1.7532539452993068,1.874685209272963,1.7573410171797326,1.874878491992312,0.7678916826398827,0.9519715078282751,5.527283149114053e-116
HMP_2019_ibdmdb,1627,89,1.554701225834872,0.05238254297367875,1.4520314416064617,1.6573710100632824,1.4566603247522842,1.65793968230567,0.8681989975555782,0.9101135729399936,2.732739115615591e-47
KarlssonFH_2013,145,152,1.7255629394473304,0.034888644841649934,1.6571811955576965,1.7939446833369643,1.6614779475879187,1.7944495782195067,0.5301301428934498,0.942223430628011,9.063583846026791e-95
LifeLinesDeep_2016,1135,127,1.6439162835318428,0.040123854441802775,1.5652735288259094,1.7225590382377762,1.5673915258142759,1.7248050696109245,0.5138037497962581,0.9306951895488144,2.604172294976773e-74
NielsenHB_2014,396,152,1.6521082447520083,0.03706667327749466,1.5794575651281189,1.7247589243758978,1.5863210865742705,1.7262195436229393,0.6283406530359735,0.929794903098428,2.0249289726871512e-88
QinJ_2012,363,149,1.7467830652822414,0.03546659767355475,1.677268533842074,1.8162975967224086,1.6780369456750748,1.8191840499073804,0.8024064407051974,0.942861808481635,2.9123218439905667e-93
VogtmannE_2016,110,193,1.7930505939178025,0.029199556362186588,1.7358194634479167,1.8502817243876883,1.7386108040066772,1.850884152252781,0.6576264523240671,0.9517894937546063,1.0268385169237556e-127
YachidaS_2019,616,151,1.6928410534606175,0.03569694020628711,1.6228750506562948,1.7628070562649403,1.6288436566736237,1.7637945300233677,0.7446268904654902,0.9378623280170644,8.576384202953044e-92
ZellerG_2014,156,185,1.7565457387456915,0.03247624826729936,1.6928922921417848,1.8201991853495982,1.6951083011575934,1.8198425176971895,0.6900866851116703,0.9411275185121216,1.698750241791326e-114
