level,canonical,n_taxa_rows,universal_beta,beta_se,beta_ci_lo,beta_ci_hi,r2,n_points,n_biomes,mean_n_taxa
ASV,True,317314,1.965937823632544,0.005046998797251171,1.9560457059899317,1.9758299412751563,0.9570115709331376,12610,15,840
genus,False,277856,1.9542358275231444,0.005121452552407851,1.944197780520425,1.9642738745258639,0.9586274630665057,11674,15,778
family,False,211293,1.9281061259475245,0.005384351490511939,1.917552797026121,1.938659454868928,0.964185163925314,8933,16,558
order,False,138802,1.8742092134058925,0.006194772105088618,1.8620674600799187,1.8863509667318663,0.9699693718411727,5100,16,318
class,False,81178,1.832569072238022,0.0073063667710828225,1.8182485933666996,1.8468895511093442,0.9744878238843607,2898,14,207
phylum,False,44228,1.804998097428495,0.009756242266934534,1.7858758625853033,1.8241203322716866,0.977606202548329,1240,8,155
