cohort,taxon,taxon_full,n_nonzero,alpha_hat,theta_hat,ks_gamma_p,ks_exp_p,gamma_better
FengQ_2015,s__Coprococcus_comes,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,137,0.7600766675662866,1.9107964851333348,0.218002176066468,0.3510678787705781,False
FengQ_2015,s__Methanobrevibacter_smithii,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,71,0.3423235067172348,8.024633982671572,0.4993991087776992,2.3007606298145025e-06,True
FengQ_2015,s__Blautia_obeum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum,142,0.7179159006063806,1.8470695978216807,0.2874444606731713,0.07169502819463558,True
FengQ_2015,s__Alistipes_putredinis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,124,0.44087839853323746,2.9582613998013145,0.6522250183272333,6.48028529712836e-08,True
FengQ_2015,s__Bifidobacterium_bifidum,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,51,0.2916420782478271,10.283929152499041,0.7821527252241129,3.1780203242970036e-06,True
FengQ_2015,s__Coprococcus_eutactus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus,62,0.25127032198147486,8.774326090520272,0.19656818446899293,1.7357509925321752e-11,True
FengQ_2015,s__Eubacterium_sp_CAG_251,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251,58,0.43007441848059735,5.398100654770141,0.22786739875265116,0.020304600329078215,True
FengQ_2015,s__Bacteroides_dorei,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,88,0.2902904790014441,4.790448504176305,0.014252528413046694,3.105646465348604e-17,True
FengQ_2015,s__Agathobaculum_butyriciproducens,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens,141,0.8244865552588913,1.0441342861931164,0.8381269145363291,0.3640114559062152,True
FengQ_2015,s__Eubacterium_siraeum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum,117,0.4013908329493118,2.392932993670687,0.047374570431422014,4.172395433181753e-11,True
HMP_2019_ibdmdb,s__Bacteroides_vulgatus,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,1360,0.5940379729264877,33.99359439082644,4.5628157163854065e-21,1.0889921305791974e-11,False
HMP_2019_ibdmdb,s__Bacteroides_uniformis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,1318,0.8693332701180544,13.496278299011715,0.00028421801925506844,0.04830071119409185,False
HMP_2019_ibdmdb,s__Faecalibacterium_prausnitzii,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,1476,0.8889785636352405,10.253084719869783,0.5133125578151889,0.17208924999414377,True
HMP_2019_ibdmdb,s__Prevotella_copri,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri,351,0.2668770660059201,101.2295493671451,2.49577325016588e-07,1.645414278667429e-40,True
HMP_2019_ibdmdb,s__Bacteroides_stercoris,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,886,0.5014625755803587,21.23628868163098,0.0003424688306585928,4.940623502297659e-28,True
HMP_2019_ibdmdb,s__Bacteroides_dorei,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,645,0.34620810877286384,31.217085834210035,0.018138792888287077,1.5057472899475286e-55,True
HMP_2019_ibdmdb,s__Alistipes_putredinis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,932,0.7786693486492731,6.318265812603201,1.1605487790972845e-12,2.2139055987959707e-06,False
HMP_2019_ibdmdb,s__Bacteroides_fragilis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,818,0.41055674693708816,13.011806982964679,0.0017797093759913947,2.7387017682060296e-51,True
HMP_2019_ibdmdb,s__Bacteroides_ovatus,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,1268,0.5747798179847459,5.756279372124696,0.003719568263241057,1.0065188919867015e-27,True
HMP_2019_ibdmdb,s__Bacteroides_caccae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,1040,0.9300448180117283,4.070891162926179,0.02958669604429387,0.21180436104964406,False
HMP_2019_ibdmdb,s__Parabacteroides_distasonis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis,1203,0.842760867326633,3.8678571286409267,5.857432425499979e-06,1.3099589147562197e-08,True
HMP_2019_ibdmdb,s__Eubacterium_rectale,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale,1254,0.4958926550780073,6.042468150070348,0.0117046899804353,1.615672569009647e-49,True
HMP_2019_ibdmdb,s__Roseburia_faecis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,1002,0.4684783575174733,7.749872915731274,0.00011769518824971535,1.1137944575498549e-45,True
HMP_2019_ibdmdb,s__Roseburia_intestinalis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,940,0.36105954419403186,10.477652765998883,1.5958277340849816e-12,1.0880289124753545e-105,True
HMP_2019_ibdmdb,s__Bacteroides_thetaiotaomicron,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,1101,0.505247179884871,5.350027457473826,0.10382930525488065,1.9554131346706925e-32,True
HMP_2019_ibdmdb,s__Escherichia_coli,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,799,0.2884872367796311,9.794825098944992,2.6562221605818388e-21,7.817722601822339e-163,True
HMP_2019_ibdmdb,s__Parabacteroides_merdae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae,904,0.8016741106420622,3.0783431660715808,0.008728377139684546,0.016008463676868145,False
HMP_2019_ibdmdb,s__Bacteroides_xylanisolvens,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,932,0.49526987475239403,4.415957631897599,0.47467328121521646,1.8981455076776623e-29,True
HMP_2019_ibdmdb,s__Alistipes_finegoldii,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,934,0.4179507373325695,4.305509057621206,6.543847049753974e-05,7.44912126674645e-49,True
HMP_2019_ibdmdb,s__Akkermansia_muciniphila,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila,507,0.32850054816134694,8.53370942770903,0.00024954679882839824,2.341674556921313e-60,True
HMP_2019_ibdmdb,s__Flavonifractor_plautii,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii,1379,0.510860707227002,1.8107369771205053,6.91260887657442e-07,2.6980193680414694e-59,True
HMP_2019_ibdmdb,s__Eubacterium_siraeum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum,606,0.3794008172850959,5.381439795980855,0.0003704733538022093,5.907367916730184e-53,True
HMP_2019_ibdmdb,s__Eubacterium_eligens,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,988,0.5883867141726163,1.855663729849391,0.02001391460213555,9.969485152613508e-20,True
HMP_2019_ibdmdb,s__Barnesiella_intestinihominis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis,466,0.7162634349219745,3.156958932537666,0.31168425235505093,0.005799022381020598,True
HMP_2019_ibdmdb,s__Bacteroides_cellulosilyticus,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,453,0.4740666770385252,4.750414047820734,0.14826857535798665,1.1453964516131444e-21,True
HMP_2019_ibdmdb,s__Veillonella_parvula,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,602,0.26005654463420025,5.345658985843266,1.4738830267886237e-24,8.619272516419213e-159,True
HMP_2019_ibdmdb,s__Lachnospira_pectinoschiza,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_pectinoschiza,542,0.5386924589050731,2.85183558694287,0.014442000818993127,1.4384549416925352e-16,True
HMP_2019_ibdmdb,s__Bacteroides_massiliensis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,402,0.7038598022226583,2.878427630175499,0.3308903739189424,0.019013890027253157,True
HMP_2019_ibdmdb,s__Roseburia_inulinivorans,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,1050,0.515748012793314,1.4305094750666258,9.294405686726556e-05,1.1771537092509574e-39,True
HMP_2019_ibdmdb,s__Bacteroides_faecis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,388,0.5266588660825642,3.636215738617676,0.360532590282168,5.857109193118385e-11,True
KarlssonFH_2013,s__Faecalibacterium_prausnitzii,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,144,1.336615600702698,6.128707488794861,0.09425132200906428,0.0010372721184491434,True
KarlssonFH_2013,s__Ruminococcus_bromii,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii,107,1.0987867428310802,7.74080135388895,0.0027078272032676765,0.000988073495693853,True
KarlssonFH_2013,s__Eubacterium_rectale,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale,135,0.466586311461516,12.649373330214473,0.32420803007393584,1.3179903640159599e-05,True
