prevalence,canonical,universal_beta,beta_se,beta_ci_lo,beta_ci_hi,r2,n_points,n_biomes,mean_n_taxa
0.05,False,1.857787274029323,0.002123277657941511,1.8536256498197576,1.8619488982388885,0.9439934631313626,62176,16,3886
0.1,False,1.9038589528371221,0.003178165723096886,1.8976297480198523,1.910088157654392,0.9499708837706264,30323,16,1895
0.2,True,1.965937823632544,0.005046998797251171,1.9560457059899317,1.9758299412751563,0.9570115709331376,12610,15,840
0.3,False,2.005298872860119,0.006981558550341477,1.9916150181014498,2.0189827276187886,0.9609880685686862,6540,13,503
0.5,False,2.0269008168331233,0.01958225983454946,1.9885195875574064,2.06528204610884,0.9488174325318133,1135,8,141
