label,n_samples,n_features_after_filter,beta,beta_se,beta_ci_lo,beta_ci_hi,alpha,r2
global_KO_all_layers,243,9273,1.5904596603512375,0.0029747824488214757,1.5846284326021893,1.5962908881002857,-1.7414540290678144,0.9685855352533128
KO_layer_SRF,113,9255,1.595215306293963,0.002956335729238027,1.5894202366997492,1.6010103758881766,-1.7838904985263888,0.9691990281214677
KO_layer_DCM,74,9232,1.6569608568671585,0.0030580955748772164,1.6509663135938093,1.6629554001405078,-1.4635027889372494,0.9695185627864941
KO_layer_MES,43,8747,1.588062107946123,0.003121107883890157,1.5819440021183124,1.5941802137739336,-2.160123064685062,0.967325056456435
KO_layer_MIX,13,9338,1.7460358138037477,0.002688332203916719,1.7407660963151492,1.7513055312923462,-1.2797051593033937,0.9783472312620172
